"OBJECTID","STOPNAME","TRAPEZESTOPABBR","RUCUSSTOPABBR","STOPID","LATITUDE","LONGITUDE","ACCESSIBILITYMASK","ATSTREET","ONSTREET","POSITION","ORIENTATION","SERVICEPLANNINGSTOPTYPE","SHELTER","INSERT_TIMESTAMP","SDE_ID","SIGNUPID","SUPERVISOR_DISTRICT","shape","data_as_of","data_loaded_at"
"104509","Market St&Sanchez St S-NS/SI","MRKTSNC1","MRKTSNCZ","5691","37.765689","-122.43114",,"SANCHEZ ST","MARKET ST","NS","SO",,"0","1757027498000","16416480","150","8","POINT (-122.43114 37.765689)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102817","Divisadero St&Chestnut St NW-NS/BZ","DIVICHES","DIVICHES","4411","37.800087","-122.442964",,"CHESTNUT ST","DIVISADERO ST","NS","NW","BZ","0","1757027498000","16410480","150","2","POINT (-122.442964 37.800087)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103005","Castro St&Elizabeth St E-MI/SB","CTROELI1","CTROELIZ","4332","37.751886","-122.434053",,"ELIZABETH ST","CASTRO ST","MI","EA",,"0","1757027498000","16410977","150","8","POINT (-122.434053 37.751886)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104687","Portola Dr&Claremont Blvd E-FS/SB","PORTCLA1","PORTCLAR","6011","37.739689","-122.465124",,"CLAREMONT BLVD","PORTOLA DR","FS","E",,"0","1757027498000","16415521","150","7","POINT (-122.465124 37.739689)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104938","Oakdale Ave&Toland St NE-NS/PS","OAKDTOLD",,"8003","37.740966","-122.401416",,"TOLAND ST","OAKDALE AVE",,,,"0","1757027498000","16419614","150","10","POINT (-122.401416 37.740966)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102898","Diamond St&28TH St SW-FS/SB","DIAM28S0","DIAM28ST","4379","37.74465","-122.435762",,"28TH ST","DIAMOND ST","FS","SW",,"0","1757027498000","16410697","150","8","POINT (-122.435762 37.74465)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"103174","Ingerson Ave&Griffith St E-MI/SB","INGRGRI1","INGRGRIF","5115","37.717012","-122.389212",,"GRIFFITH ST","INGERSON AVE","MI","EA",,"0","1757027498000","16411532","150","10","POINT (-122.389212 37.717012)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"104389","Yerba Buena/Moscone Station","YB/MOSC1",,"7873","37.78238","-122.40173",,"CLEMENTINA ST","04TH ST",,,,"0","1757027498000","16419470","150","6","POINT (-122.40173 37.78238)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"102777","Folsom St&25TH St SE-NS/PS","FOLS25S0","FOLS25ST","4681","37.750829","-122.413842",,"25TH ST","FOLSOM ST","NS","SE",,"0","1757027498000","16410795","150","9","POINT (-122.413842 37.750829)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
"105270","Visitacion Ave&Cora St W-NS/PS","VISICOR1","VISICORA","6848","37.71168","-122.40898",,"CORA ST","VISITACION AVE","NS","WE",,"0","1757027498000","16414281","150","10","POINT (-122.40898 37.71168)","2025 Nov 12 11:26:45 AM","2025 Nov 15 10:20:22 AM"
