"Store Name","Address","Address 2","City","State","Zip","County","Store Type","Incentive Program","Grantee Name","Point Source","Selected Location"
"store_name","address","address2","city","state","zip5","county","store_type","incentive_program","grantee_name","Source","Location"
"W&k Market","3098 24th St","","San Francisco","CA","94110","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Walgreens 00887","1524 Polk St","","San Francisco","CA","94109","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 00896","3601 California St","","San Francisco","CA","94118","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 01109","5260 Diamond Heights Blvd","","San Francisco","CA","94131","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 01297","670 4th St","","San Francisco","CA","94107","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 01327","498 Castro St","","San Francisco","CA","94114","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 01626","2494 San Bruno Ave","","San Francisco","CA","94134","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 02521","300 Montgomery St","Ste 150","San Francisco","CA","94104","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 02705","2050 Irving St","","San Francisco","CA","94122","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 05599","2120 Polk St","","San Francisco","CA","94109","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 06557","199 Parnassus Ave","","San Francisco","CA","94117","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 06625","2141 Chestnut St","","San Francisco","CA","94123","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 07043","459 Powell St","","San Francisco","CA","94102","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 07150","965 Geneva Ave","","San Francisco","CA","94112","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 1054","3398 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 13670","200 W Portal Ave","","San Francisco","CA","94127","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 15127","1175 Columbus Ave","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 2088","1333 Castro St","","San Francisco","CA","94114","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 2152","1899 Fillmore St","","San Francisco","CA","94115","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 3475","25 Point Lobos Ave","","San Francisco","CA","94121","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 4231","2690 Mission St","","San Francisco","CA","94110","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 4275","456 Mission St","","San Francisco","CA","94105","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 4529","2145 Market St","","San Francisco","CA","94114","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 4570","3001 Taraval St","","San Francisco","CA","94116","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 4609","1301 Market St","","San Francisco","CA","94103","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Walgreens 893","1344 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Wallys Community Market","451 Ofarrell St","","San Francisco","CA","94102","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Wei Ye Co Inc","1248 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Welcome Market & Liquor","1141 Folsom St","","San Francisco","CA","94103","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Wendy And Moon Grocery","1321A Powell St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Western Sunset Market no","4099 Judah St","","San Francisco","CA","94122","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10044","1765 California St","","San Francisco","CA","94109","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10151","399 4th St","","San Francisco","CA","94107","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10238","450 Rhode Island St","","San Francisco","CA","94107","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10362","690 Stanyan St","","San Francisco","CA","94117","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10379","3950 24th St","","San Francisco","CA","94114","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10396","2001 Market St","","San Francisco","CA","94114","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10432","1150 Ocean Ave","","San Francisco","CA","94112","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Whole Foods Market 10717","3251 20th Ave","","San Francisco","CA","94132","SAN FRANCISCO","Super Store","","","USDA","San Francisco (City, 2020)"
"Wiley's Liqour","1015 Ocean Ave","","San Francisco","CA","94112","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"Wing Hing Seafood Market Inc.","633 Clement St","","San Francisco","CA","94118","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"Wing Stop #2143","1507 Sloat Blvd","","San Francisco","CA","94132","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
"Wl Trading Inc","844 Jackson St","","San Francisco","CA","94133","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"Woodlands Market SF","318 Main St","Ste 101","San Francisco","CA","94105","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Woori Food Market 0","1528 Fillmore St","","San Francisco","CA","94115","SAN FRANCISCO","Supermarket","","","USDA","San Francisco (City, 2020)"
"Wycen Foods Inc.","862 Clay St","","San Francisco","CA","94108","SAN FRANCISCO","Specialty Store","","","USDA","San Francisco (City, 2020)"
"Xing Wang Market","724 Broadway","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"Xing Ye Trading Inc","1262 Stockton St","","San Francisco","CA","94133","SAN FRANCISCO","Grocery Store","","","USDA","San Francisco (City, 2020)"
"YANGTZE MARKET 2","4599 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Other","","","USDA","San Francisco (City, 2020)"
"YICKS LIQUOR","4701 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Convenience Store","","","USDA","San Francisco (City, 2020)"
"YING HUI CHINESE RESTAURANT","5125 Mission St","","San Francisco","CA","94112","SAN FRANCISCO","Restaurant Meals Program","","","USDA","San Francisco (City, 2020)"
